country,mig_ext_medio_group/1,mig_ext_medio_group/2,mig_ext_medio_group/3,mig_ext_cost_total,mig_ext_cost_currency
SLV,0,1,0,3000,1
SLV,0,1,0,,
HND,0,1,0,4000,1
HND,0,0,1,,
HND,0,1,0,,
SLV,1,1,0,,
SLV,0,1,0,,
HND,0,0,0,,
SLV,1,0,0,,
HND,1,0,0,,
SLV,0,1,0,12000,1
SLV,0,1,0,5000,1
SLV,0,1,0,12000,1
HND,0,0,0,,
HND,0,1,0,6000,1
HND,0,1,0,6000,1
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,1,0,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,1,0,500,1
HND,1,0,0,164,2
HND,0,0,1,615,2
HND,1,0,0,902,2
HND,1,0,0,902,2
HND,1,0,0,20.5,2
HND,1,0,0,,
GT,0,1,0,11050,3
GT,0,1,0,,
GT,0,1,0,4550,3
GT,0,1,0,7800,3
HND,1,0,0,,
HND,1,0,0,,
GT,0,0,1,195,3
GT,0,1,0,6240,3
GT,0,1,0,7800,3
GT,0,1,0,11700,3
GT,0,1,0,13000,3
GT,0,1,0,7800,3
GT,0,1,0,10400,3
GT,0,1,0,11050,3
GT,0,1,0,11700,3
GT,1,0,0,,
GT,0,1,0,7800,3
GT,0,1,0,5850,3
GT,0,1,0,12350,3
GT,0,0,0,,
GT,0,1,0,6500,3
GT,0,1,0,9750,3
GT,0,0,1,,
GT,0,1,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,0,0,0,615,2
GT,1,0,0,,
GT,0,0,1,11050,3
GT,0,1,0,,
GT,1,0,0,3250,3
GT,0,1,0,29250,3
GT,0,1,0,10400,3
GT,0,1,0,,
GT,0,1,0,1820,3
GT,0,1,0,3900,3
GT,0,1,0,9750,3
HND,0,0,1,123,2
HND,0,0,1,61.5,2
HND,0,1,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,1,0,7000,1
HND,1,0,0,500,1
HND,1,0,0,,1
HND,1,0,0,,
HND,0,0,0,,
HND,0,1,0,,
HND,1,0,0,1700,1
GT,0,1,0,5200,3
GT,0,1,0,6500,3
GT,0,1,0,11050,3
HND,0,1,0,5000,1
HND,0,0,0,4.1,2
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,0,,
HND,0,0,1,,
HND,0,0,1,533,2
HND,0,0,1,,
HND,0,0,1,82,2
GT,0,1,0,,
HND,1,0,0,,
HND,1,0,0,2.46,2
HND,0,0,1,,
HND,1,0,0,4510,2
HND,0,0,1,,
GT,0,1,0,7800,3
GT,0,1,0,,
GT,0,1,0,,
GT,0,0,1,,
GT,0,1,0,15600,3
GT,0,1,0,8580,3
GT,0,1,0,,
GT,0,1,0,6500,3
GT,0,1,0,,
GT,0,1,0,9100,3
GT,1,0,0,455,3
GT,1,0,0,455,3
GT,1,0,0,,
HND,0,0,1,205,2
HND,0,0,1,123,2
